job_id,company,title,visa,f1,total_tokens,prompt_tokens,completion_tokens,timestamp,error
000508b8-62a7-49a3-9263-73e9ca9cce8e,sharkninjaoperatingllc,Senior Product Design Engineer – Haircare,False,False,1431,1017,414,2026-02-10T10:32:57.078859,
00e02f00-9a87-48ce-b2db-fd5ccc707c0b,okta,"Business Development Representative, West",False,False,1522,1113,409,2026-02-10T10:33:05.150101,
2f45f4cd-3041-4f62-b7ca-74f92e2360f3,twosixtechnologies,Senior Vulnerability Researcher,False,False,1511,1033,478,2026-02-10T10:33:14.578060,
0137ba0d-7800-4cc6-8222-9286b7304ec5,trmlabs,Senior Growth Marketing Manager,False,False,1304,985,319,2026-02-10T10:33:20.886390,
2f469487-dc78-4be6-bdd2-b02c390dbde3,spotify,"Manager, Partner Product and Delivery",False,False,824,496,328,2026-02-10T10:33:27.400442,
314106be-da34-4d2b-8af5-b709c118007b,astranis,Tax Manager,False,False,1339,1028,311,2026-02-10T10:33:34.214047,
2f56ee19-4b0c-4f0b-a630-2a987fea1688,doordashusa,"Senior Associate, Strategic Retail Partnerships",False,False,1404,1032,372,2026-02-10T10:33:41.544814,
2f5e41d5-cb2b-4186-b7a9-454f4111483b,amplitude,"Lead Product Designer, Experiment",False,False,1333,1037,296,2026-02-10T10:33:47.414308,
2f62393a-6205-4f2e-8ba1-08e12665ac44,spacex,"Sr. Launch Engineer, Mechanical Systems (Launch Pads)",False,False,1463,987,476,2026-02-10T10:33:57.416555,
2f62abf7-ccd1-46cf-88fb-510741f592dd,datadog,"Manager I, Engineering - CCM Optimize",False,False,1300,985,315,2026-02-10T10:34:04.307344,
2f6426a4-15da-496f-8041-e6caad7510be,aloyoga,"Sr. Director of Data Analytics, Data Science & AI",False,False,1382,1028,354,2026-02-10T10:34:12.010719,
2f691463-fda2-4fc8-92df-4729fe5854da,scaleai,Senior Revenue Accountant,False,False,1375,996,379,2026-02-10T10:34:20.139345,
773e3ed6-2fbf-4fa5-83cb-8f2722c1ac26,gleanwork,Field GTM Enablement Manager,False,False,1351,1017,334,2026-02-10T10:34:27.478448,
11b04ed2-0939-4f5d-9300-f61e17ca3e84,spacex,"Thin Films Specialist, Silicon Assembly (Starlink)",False,False,1407,1004,403,2026-02-10T10:34:36.071194,
15e01bd2-e9de-4b69-9c8c-016168154d4d,stripe,Crypto Accounting Team Lead,False,False,1275,943,332,2026-02-10T10:34:43.263524,
179469ae-55de-41da-ad63-d9f17848deb5,moloco,"Senior Manager, MCM Revenue Operations",False,False,1356,1019,337,2026-02-10T10:34:50.589497,
26e0a96b-181f-42df-80d3-8db165232776,moloco,Growth Manager,False,False,1420,1017,403,2026-02-10T10:34:58.648656,
397adfe3-08d6-448d-8b2a-2f99cdeebbb7,amplitude,Senior Sales Engineer - Enterprise (Spanish Required),False,False,1411,1023,388,2026-02-10T10:35:06.551865,
9eb91975-d595-4894-b9ba-b950903aa055,aloyoga,Senior Construction Project Manager,False,False,1371,991,380,2026-02-10T10:35:14.429702,
a42c57d2-0b16-485e-813b-161efc1f741a,accuweather,Graphic Design Meteorologist,False,False,1542,1090,452,2026-02-10T10:35:23.900663,
b535f181-8592-49e6-8d3d-641c6b95c442,10xgenomics,Senior Software Engineer,False,False,1415,1000,415,2026-02-10T10:35:32.593857,
c045cc9f-d291-4040-9387-f8a79dc51531,affirm,Marketplace Monetization Manager,False,False,1351,962,389,2026-02-10T10:35:40.730552,
2febaec4-d201-4d80-84f0-7ed0e4356a5c,affirm,Process Excellence Manager,False,False,1331,967,364,2026-02-10T10:35:48.489123,
018da0a9-f3e4-4c46-8106-86e73e36ba82,focusfinancialpartners,Regional Vice President - Business Development,False,False,1383,995,388,2026-02-10T10:35:56.593066,
01dd2b23-e46d-4a24-91af-fa7a9661c391,okta,Site Reliability Engineer Intern (Summer 2026),False,False,1396,1052,344,2026-02-10T10:36:03.801155,
1b4915fa-8675-459e-85b5-674481177010,okta,Talent Management Intern (Summer 2026),False,False,1405,1030,375,2026-02-10T10:36:11.572572,
22a5c56e-4d0a-4005-b60f-a011b59c73c9,sharkninjaoperatingllc,"Director, Canada Strategic Sales & Analytics",False,False,1404,1077,327,2026-02-10T10:36:18.448479,
2c33d20b-3765-40ec-87e7-4c382f1d5ebf,spacex,Silicon Photonics Design Engineer (Silicon Engineering),False,False,1342,1012,330,2026-02-10T10:36:25.470173,
63ea8f95-9565-45fd-98ad-75f767cd669e,spacex,Sr. Hardware / Infrastructure Site Reliability Engineer (Starlink),False,False,1340,987,353,2026-02-10T10:36:32.805778,
97022011-ef36-47ea-8fb8-28f949853327,mthreerecruitingportal,Site Reliability Engineer / Production Support Analyst,False,False,1500,1061,439,2026-02-10T10:36:41.958563,
